Serial,Latitude,Longitude,Type,SensorType,Code,BeginTime,EndTime,LAT,LNG
"PI040297AD5I208512. FuturePractice:,Id:453,LandCoverOverlay:,LandCoverTypes:[Additional:[Other broad leaved and coniferous trees],Cover:11-25%,Id:4054,Name:Trees,Additional:[Other shrubs],Cover:11-25%,Id:4055,Name:Shrubs,Additional:[],Cover:51-75%,Id:4057,Name:Other ground covering plants (weeds, grasses),Additional:[],Cover:< 5%,Id:4059,Name:Sealed surfaces (roads, buildings)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Park,Latitude:56.57029,Longitude:-3.23714519,ParcelSize:0.01  0.5 ha,Photos:,SensorId:STC_FMT_beeches,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Micro-high,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-12-14T11:41:02.754995+00:",-3.238,56.57,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_x0rc5fqv,2018-09-08T19:13:51.000Z,2019-03-28T09:13:15.000Z,56.57,-3.238
"PI040297AD5I208512. FuturePractice:,Id:453,LandCoverOverlay:,LandCoverTypes:[Additional:[Other broad leaved and coniferous trees],Cover:11-25%,Id:4054,Name:Trees,Additional:[Other shrubs],Cover:11-25%,Id:4055,Name:Shrubs,Additional:[],Cover:51-75%,Id:4057,Name:Other ground covering plants (weeds, grasses),Additional:[],Cover:< 5%,Id:4059,Name:Sealed surfaces (roads, buildings)],LandManagement:,LandUseArea:Cultivated, agricultural land,LandUseSpot:Park,Latitude:56.57029,Longitude:-3.23714519,ParcelSize:0.01  0.5 ha,Photos:,SensorId:STC_FMT_beeches,SensorMissionManagement:false,SensorOnMulchedGround:false,SensorOvergrown:false,SensorShadedByTrees:false,SlopeAspect:,SlopePosition:Micro-high,SoilTextureClay:,SoilTextureSand:,SoilTextureSilt:,StoneContent:,SubmissionTimestamp:2018-12-14T11:41:02.754995+00:",-3.238,56.57,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_x0rc5fqv,2018-09-08T19:13:51.000Z,2019-03-28T09:13:15.000Z,56.57,-3.238
PI040297AD5I209374,-3.237,56.57,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_r3xk26xa,2018-09-08T18:35:48.000Z,2019-10-10T13:33:17.000Z,56.57,-3.237
PI040297AD5I209374,-3.237,56.57,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_r3xk26xa,2018-09-08T18:35:48.000Z,2019-10-10T13:33:17.000Z,56.57,-3.237
PI040297AD5I209374,-3.237,56.57,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_r3xk26xa,2018-09-08T18:35:48.000Z,2019-10-10T13:33:17.000Z,56.57,-3.237
PI040297AD5I209374,-3.237,56.57,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_r3xk26xa,2018-09-08T18:35:48.000Z,2019-10-10T13:33:17.000Z,56.57,-3.237
PI040297AD5I209374,-3.237,56.57,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_r3xk26xa,2018-09-08T18:35:48.000Z,2019-10-10T13:33:17.000Z,56.57,-3.237
PI040297AD5I209374,-3.237,56.57,Thingful.Connectors.GROWSensors.WaterTankLevel,Flower Power,Grow.Thingful.Sensors_r3xk26xa,2018-09-08T18:35:48.000Z,2019-10-10T13:33:17.000Z,56.57,-3.237
PI040298AD5J214534,-7.189,52.58,Thingful.Connectors.GROWSensors.AirTemperature,Flower Power,Grow.Thingful.Sensors_q2q9phn2,2018-09-10T14:39:03.000Z,2019-02-23T14:17:36.000Z,52.58,-7.189
PI040298AD5J214534,-7.189,52.58,Thingful.Connectors.GROWSensors.BatteryLevel,Flower Power,Grow.Thingful.Sensors_q2q9phn2,2018-09-10T14:39:03.000Z,2019-02-23T14:17:36.000Z,52.58,-7.189
PI040298AD5J214534,-7.189,52.58,Thingful.Connectors.GROWSensors.FertilizerLevel,Flower Power,Grow.Thingful.Sensors_q2q9phn2,2018-09-10T14:39:03.000Z,2019-02-23T14:17:36.000Z,52.58,-7.189
PI040298AD5J214534,-7.189,52.58,Thingful.Connectors.GROWSensors.Light,Flower Power,Grow.Thingful.Sensors_q2q9phn2,2018-09-10T14:39:03.000Z,2019-02-23T14:17:36.000Z,52.58,-7.189
PI040298AD5J214534,-7.189,52.58,Thingful.Connectors.GROWSensors.SoilMoisture,Flower Power,Grow.Thingful.Sensors_q2q9phn2,2018-09-10T14:39:03.000Z,2019-02-23T14:17:36.000Z,52.58,-7.189
